VFGID,VFID,VFCID
VFG000288,VF0060,VFC0086
VFG000289,VF0060,VFC0086
VFG000290,VF0060,VFC0086
VFG000291,VF0060,VFC0086
VFG000292,VF0060,VFC0086
VFG000293,VF0060,VFC0086
VFG000294,VF0060,VFC0086
VFG000295,VF0060,VFC0086
VFG000296,VF0060,VFC0086
VFG000297,VF0060,VFC0086
VFG000298,VF0060,VFC0086
VFG000299,VF0060,VFC0086
VFG000300,VF0060,VFC0086
VFG000301,VF0060,VFC0086
VFG000302,VF0060,VFC0086
VFG000303,VF0060,VFC0086
VFG000304,VF0060,VFC0086
VFG000305,VF0060,VFC0086
VFG000306,VF0059,VFC0086
VFG000307,VF0052,VFC0258
VFG000308,VF0057,VFC0258
VFG000309,VF0057,VFC0258
VFG000310,VF0608,VFC0204
VFG000311,VF0608,VFC0204
VFG000312,VF0055,VFC0001
VFG000313,VF0056,VFC0258
VFG000314,VF0056,VFC0258
VFG000315,VF0056,VFC0258
VFG000316,VF0056,VFC0258
VFG000317,VF0056,VFC0258
VFG000318,VF0056,VFC0258
VFG000320,VF0056,VFC0258
VFG000321,VF0056,VFC0258
VFG000322,VF0056,VFC0258
VFG000323,VF0056,VFC0258
VFG000324,VF0053,VFC0001
VFG000325,VF0053,VFC0001
VFG000326,VF0044,VFC0258
VFG000327,VF0044,VFC0258
VFG000328,VF0044,VFC0258
VFG000329,VF0044,VFC0258
VFG000330,VF0044,VFC0258
VFG000331,VF0044,VFC0258
VFG000332,VF0044,VFC0258
VFG000333,VF0044,VFC0258
VFG000334,VF0040,VFC0001
VFG000335,VF0041,VFC0001
VFG000336,VF0042,VFC0258
VFG000337,VF0045,VFC0251
VFG000338,VF0267,VFC0272
VFG000339,VF0267,VFC0272
VFG000340,VF0269,VFC0272
VFG000341,VF0269,VFC0272
VFG000343,VF0268,VFC0272
VFG000344,VF0268,VFC0272
VFG000347,VF0270,VFC0272
VFG000348,VF0269,VFC0272
VFG000349,VF0134,VFC0001
VFG000350,VF0134,VFC0001
VFG000351,VF0134,VFC0001
VFG000352,VF0134,VFC0001
VFG000353,VF0134,VFC0001
VFG000354,VF0132,VFC0083
VFG000358,VF0136,VFC0272
VFG000359,VF0136,VFC0272
